時刻,種別,行先,二子新地・高津
05:16,各停①,溝の口〔東急線〕,二子新地・高津通過
05:32,各停①,溝の口〔東急線〕,二子新地・高津通過
05:45,各停①,溝の口〔東急線〕,二子新地・高津通過
05:58,各停①,溝の口〔東急線〕,二子新地・高津通過
06:09,各停①,溝の口〔東急線〕,二子新地・高津通過
06:21,各停①,溝の口〔東急線〕,二子新地・高津通過
06:29,各停①,溝の口〔東急線〕,二子新地・高津通過
06:38,各停①,溝の口〔東急線〕,二子新地・高津通過
06:46,各停①,溝の口〔東急線〕,二子新地・高津通過
06:55,各停①,溝の口〔東急線〕,二子新地・高津通過
07:03,各停①,溝の口〔東急線〕,二子新地・高津通過
07:11,各停①,溝の口〔東急線〕,二子新地・高津通過
07:19,各停①,溝の口〔東急線〕,二子新地・高津通過
07:26,各停①,溝の口〔東急線〕,二子新地・高津通過
07:33,各停①,溝の口〔東急線〕,二子新地・高津通過
07:39,各停①,溝の口〔東急線〕,二子新地・高津通過
07:45,各停①,溝の口〔東急線〕,二子新地・高津通過
07:51,各停①,溝の口〔東急線〕,二子新地・高津通過
07:57,各停①,溝の口〔東急線〕,二子新地・高津通過
08:03,各停①,溝の口〔東急線〕,二子新地・高津通過
08:08,各停①,溝の口〔東急線〕,二子新地・高津通過
08:14,各停①,溝の口〔東急線〕,二子新地・高津通過
08:20,各停①,溝の口〔東急線〕,二子新地・高津通過
08:25,各停①,溝の口〔東急線〕,二子新地・高津通過
08:31,各停①,溝の口〔東急線〕,二子新地・高津通過
08:36,各停①,溝の口〔東急線〕,二子新地・高津通過
08:42,各停①,溝の口〔東急線〕,二子新地・高津通過
08:47,各停①,溝の口〔東急線〕,二子新地・高津通過
08:53,各停①,溝の口〔東急線〕,二子新地・高津通過
08:58,各停①,溝の口〔東急線〕,二子新地・高津通過
09:06,各停①,溝の口〔東急線〕,二子新地・高津通過
09:10,各停①,溝の口〔東急線〕,二子新地・高津通過
09:16,各停①,溝の口〔東急線〕,二子新地・高津通過
09:22,各停①,溝の口〔東急線〕,二子新地・高津通過
09:27,各停①,溝の口〔東急線〕,二子新地・高津通過
09:31,各停①,溝の口〔東急線〕,二子新地・高津通過
09:37,各停①,溝の口〔東急線〕,二子新地・高津通過
09:43,各停①,溝の口〔東急線〕,二子新地・高津通過
09:50,各停①,溝の口〔東急線〕,二子新地・高津通過
09:58,各停②,溝の口〔東急線〕,二子新地・高津停車
10:05,各停①,溝の口〔東急線〕,二子新地・高津通過
10:11,各停①,溝の口〔東急線〕,二子新地・高津通過
10:18,各停①,溝の口〔東急線〕,二子新地・高津通過
10:25,各停①,溝の口〔東急線〕,二子新地・高津通過
10:31,各停①,溝の口〔東急線〕,二子新地・高津通過
10:38,各停①,溝の口〔東急線〕,二子新地・高津通過
10:45,各停①,溝の口〔東急線〕,二子新地・高津通過
10:51,各停①,溝の口〔東急線〕,二子新地・高津通過
10:58,各停②,溝の口〔東急線〕,二子新地・高津停車
11:05,各停①,溝の口〔東急線〕,二子新地・高津通過
11:11,各停①,溝の口〔東急線〕,二子新地・高津通過
11:18,各停②,溝の口〔東急線〕,二子新地・高津停車
11:25,各停①,溝の口〔東急線〕,二子新地・高津通過
11:31,各停①,溝の口〔東急線〕,二子新地・高津通過
11:38,各停②,溝の口〔東急線〕,二子新地・高津停車
11:45,各停①,溝の口〔東急線〕,二子新地・高津通過
11:51,各停①,溝の口〔東急線〕,二子新地・高津通過
11:58,各停②,溝の口〔東急線〕,二子新地・高津停車
12:05,各停①,溝の口〔東急線〕,二子新地・高津通過
12:11,各停①,溝の口〔東急線〕,二子新地・高津通過
12:18,各停②,溝の口〔東急線〕,二子新地・高津停車
12:25,各停①,溝の口〔東急線〕,二子新地・高津通過
12:31,各停①,溝の口〔東急線〕,二子新地・高津通過
12:38,各停②,溝の口〔東急線〕,二子新地・高津停車
12:45,各停①,溝の口〔東急線〕,二子新地・高津通過
12:51,各停①,溝の口〔東急線〕,二子新地・高津通過
12:58,各停②,溝の口〔東急線〕,二子新地・高津停車
13:05,各停①,溝の口〔東急線〕,二子新地・高津通過
13:11,各停①,溝の口〔東急線〕,二子新地・高津通過
13:18,各停②,溝の口〔東急線〕,二子新地・高津停車
13:25,各停①,溝の口〔東急線〕,二子新地・高津通過
13:31,各停①,溝の口〔東急線〕,二子新地・高津通過
13:38,各停②,溝の口〔東急線〕,二子新地・高津停車
13:45,各停①,溝の口〔東急線〕,二子新地・高津通過
13:51,各停①,溝の口〔東急線〕,二子新地・高津通過
13:58,各停②,溝の口〔東急線〕,二子新地・高津停車
14:05,各停①,溝の口〔東急線〕,二子新地・高津通過
14:11,各停①,溝の口〔東急線〕,二子新地・高津通過
14:18,各停②,溝の口〔東急線〕,二子新地・高津停車
14:25,各停①,溝の口〔東急線〕,二子新地・高津通過
14:31,各停①,溝の口〔東急線〕,二子新地・高津通過
14:38,各停②,溝の口〔東急線〕,二子新地・高津停車
14:45,各停①,溝の口〔東急線〕,二子新地・高津通過
14:51,各停①,溝の口〔東急線〕,二子新地・高津通過
14:58,各停②,溝の口〔東急線〕,二子新地・高津停車
15:05,各停①,溝の口〔東急線〕,二子新地・高津通過
15:11,各停①,溝の口〔東急線〕,二子新地・高津通過
15:18,各停②,溝の口〔東急線〕,二子新地・高津停車
15:25,各停①,溝の口〔東急線〕,二子新地・高津通過
15:31,各停①,溝の口〔東急線〕,二子新地・高津通過
15:38,各停②,溝の口〔東急線〕,二子新地・高津停車
15:45,各停①,溝の口〔東急線〕,二子新地・高津通過
15:51,各停①,溝の口〔東急線〕,二子新地・高津通過
15:58,各停②,溝の口〔東急線〕,二子新地・高津停車
16:05,各停①,溝の口〔東急線〕,二子新地・高津通過
16:11,各停①,溝の口〔東急線〕,二子新地・高津通過
16:18,各停②,溝の口〔東急線〕,二子新地・高津停車
16:25,各停①,溝の口〔東急線〕,二子新地・高津通過
16:31,各停①,溝の口〔東急線〕,二子新地・高津通過
16:38,各停①,溝の口〔東急線〕,二子新地・高津通過
16:45,各停②,溝の口〔東急線〕,二子新地・高津停車
16:53,各停①,溝の口〔東急線〕,二子新地・高津通過
16:59,各停①,溝の口〔東急線〕,二子新地・高津通過
17:05,各停①,溝の口〔東急線〕,二子新地・高津通過
17:13,各停①,溝の口〔東急線〕,二子新地・高津通過
17:20,各停①,溝の口〔東急線〕,二子新地・高津通過
17:26,各停①,溝の口〔東急線〕,二子新地・高津通過
17:33,各停①,溝の口〔東急線〕,二子新地・高津通過
17:39,各停①,溝の口〔東急線〕,二子新地・高津通過
17:44,各停①,溝の口〔東急線〕,二子新地・高津通過
17:51,各停①,溝の口〔東急線〕,二子新地・高津通過
17:58,各停①,溝の口〔東急線〕,二子新地・高津通過
18:05,各停①,溝の口〔東急線〕,二子新地・高津通過
18:10,各停①,溝の口〔東急線〕,二子新地・高津通過
18:14,各停①,溝の口〔東急線〕,二子新地・高津通過
18:21,各停①,溝の口〔東急線〕,二子新地・高津通過
18:26,各停①,溝の口〔東急線〕,二子新地・高津通過
18:33,各停①,溝の口〔東急線〕,二子新地・高津通過
18:39,各停①,溝の口〔東急線〕,二子新地・高津通過
18:44,各停①,溝の口〔東急線〕,二子新地・高津通過
18:51,各停①,溝の口〔東急線〕,二子新地・高津通過
18:58,各停①,溝の口〔東急線〕,二子新地・高津通過
19:05,各停①,溝の口〔東急線〕,二子新地・高津通過
19:10,各停①,溝の口〔東急線〕,二子新地・高津通過
19:14,各停①,溝の口〔東急線〕,二子新地・高津通過
19:21,各停①,溝の口〔東急線〕,二子新地・高津通過
19:26,各停①,溝の口〔東急線〕,二子新地・高津通過
19:33,各停①,溝の口〔東急線〕,二子新地・高津通過
19:39,各停①,溝の口〔東急線〕,二子新地・高津通過
19:44,各停①,溝の口〔東急線〕,二子新地・高津通過
19:51,各停①,溝の口〔東急線〕,二子新地・高津通過
19:57,各停①,溝の口〔東急線〕,二子新地・高津通過
20:05,各停①,溝の口〔東急線〕,二子新地・高津通過
20:12,各停②,鷺沼,二子新地・高津停車
20:17,各停①,溝の口〔東急線〕,二子新地・高津通過
20:24,各停①,溝の口〔東急線〕,二子新地・高津通過
20:32,各停①,溝の口〔東急線〕,二子新地・高津通過
20:37,各停②,鷺沼,二子新地・高津停車
20:43,各停①,溝の口〔東急線〕,二子新地・高津通過
20:49,各停①,溝の口〔東急線〕,二子新地・高津通過
20:56,各停①,溝の口〔東急線〕,二子新地・高津通過
21:04,各停①,溝の口〔東急線〕,二子新地・高津通過
21:10,各停②,鷺沼,二子新地・高津停車
21:16,各停①,溝の口〔東急線〕,二子新地・高津通過
21:23,各停①,溝の口〔東急線〕,二子新地・高津通過
21:32,各停①,溝の口〔東急線〕,二子新地・高津通過
21:37,各停①,溝の口〔東急線〕,二子新地・高津通過
21:45,各停①,溝の口〔東急線〕,二子新地・高津通過
21:52,各停①,溝の口〔東急線〕,二子新地・高津通過
21:59,各停②,鷺沼,二子新地・高津停車
22:06,各停①,溝の口〔東急線〕,二子新地・高津通過
22:13,各停①,溝の口〔東急線〕,二子新地・高津通過
22:20,各停①,溝の口〔東急線〕,二子新地・高津通過
22:27,各停①,溝の口〔東急線〕,二子新地・高津通過
22:35,各停①,溝の口〔東急線〕,二子新地・高津通過
22:43,各停①,溝の口〔東急線〕,二子新地・高津通過
22:52,各停②,鷺沼,二子新地・高津停車
22:59,各停①,溝の口〔東急線〕,二子新地・高津通過
23:08,各停①,溝の口〔東急線〕,二子新地・高津通過
23:17,各停①,溝の口〔東急線〕,二子新地・高津通過
23:25,各停②,鷺沼,二子新地・高津停車
23:33,各停①,溝の口〔東急線〕,二子新地・高津通過
23:43,各停①,溝の口〔東急線〕,二子新地・高津通過
23:51,各停②,鷺沼,二子新地・高津停車
00:03,各停①,溝の口〔東急線〕,二子新地・高津通過
00:13,各停②,鷺沼,二子新地・高津停車
00:28,各停①,溝の口〔東急線〕,二子新地・高津通過
00:40,各停①,二子玉川,二子新地・高津通過
