時刻,種別,行先,二子新地・高津
5:03,各停①,大井町,各停（二子新地・高津通過）
5:17,各停②,大井町,各停（二子新地・高津停車）
5:28,各停②,大井町,各停（二子新地・高津停車）
5:35,各停①,大井町,各停（二子新地・高津通過）
5:41,各停②,大井町,各停（二子新地・高津停車）
5:48,各停①,大井町,各停（二子新地・高津通過）
5:53,各停②,大井町,各停（二子新地・高津停車）
6:00,各停①,大井町,各停（二子新地・高津通過）
6:05,各停②,大井町,各停（二子新地・高津停車）
6:11,各停①,大井町,各停（二子新地・高津通過）
6:16,各停①,大井町,各停（二子新地・高津通過）
6:21,各停①,大井町,各停（二子新地・高津通過）
6:27,各停①,大井町,各停（二子新地・高津通過）
6:30,各停①,大井町,各停（二子新地・高津通過）
6:37,各停①,大井町,各停（二子新地・高津通過）
6:40,各停①,大井町,各停（二子新地・高津通過）
6:44,各停①,大井町,各停（二子新地・高津通過）
6:50,各停①,大井町,各停（二子新地・高津通過）
6:54,各停①,大井町,各停（二子新地・高津通過）
6:58,各停①,大井町,各停（二子新地・高津通過）
7:03,各停①,大井町,各停（二子新地・高津通過）
7:07,各停①,大井町,各停（二子新地・高津通過）
7:10,各停①,大井町,各停（二子新地・高津通過）
7:16,各停①,大井町,各停（二子新地・高津通過）
7:19,各停①,大井町,各停（二子新地・高津通過）
7:25,各停①,大井町,各停（二子新地・高津通過）
7:28,各停①,大井町,各停（二子新地・高津通過）
7:34,各停①,大井町,各停（二子新地・高津通過）
7:37,各停①,大井町,各停（二子新地・高津通過）
7:43,各停①,大井町,各停（二子新地・高津通過）
7:45,各停①,大井町,各停（二子新地・高津通過）
7:51,各停①,大井町,各停（二子新地・高津通過）
7:54,各停①,大井町,各停（二子新地・高津通過）
8:00,各停①,大井町,各停（二子新地・高津通過）
8:03,各停①,大井町,各停（二子新地・高津通過）
8:09,各停①,大井町,各停（二子新地・高津通過）
8:12,各停①,大井町,各停（二子新地・高津通過）
8:18,各停①,大井町,各停（二子新地・高津通過）
8:21,各停①,大井町,各停（二子新地・高津通過）
8:27,各停①,大井町,各停（二子新地・高津通過）
8:30,各停①,大井町,各停（二子新地・高津通過）
8:36,各停①,大井町,各停（二子新地・高津通過）
8:39,各停①,大井町,各停（二子新地・高津通過）
8:42,各停①,大井町,各停（二子新地・高津通過）
8:49,各停①,大井町,各停（二子新地・高津通過）
8:52,各停①,大井町,各停（二子新地・高津通過）
8:56,各停①,大井町,各停（二子新地・高津通過）
9:01,各停①,大井町,各停（二子新地・高津通過）
9:05,各停①,大井町,各停（二子新地・高津通過）
9:08,各停①,大井町,各停（二子新地・高津通過）
9:13,各停①,大井町,各停（二子新地・高津通過）
9:17,各停①,大井町,各停（二子新地・高津通過）
9:21,各停①,大井町,各停（二子新地・高津通過）
9:28,各停①,大井町,各停（二子新地・高津通過）
9:32,各停①,大井町,各停（二子新地・高津通過）
9:37,各停①,大井町,各停（二子新地・高津通過）
9:44,各停①,大井町,各停（二子新地・高津通過）
9:49,各停①,大井町,各停（二子新地・高津通過）
9:55,各停①,大井町,各停（二子新地・高津通過）
10:03,各停①,大井町,各停（二子新地・高津通過）
10:09,各停①,大井町,各停（二子新地・高津通過）
10:16,各停①,大井町,各停（二子新地・高津通過）
10:21,各停①,大井町,各停（二子新地・高津通過）
10:29,各停①,大井町,各停（二子新地・高津通過）
10:36,各停①,大井町,各停（二子新地・高津通過）
10:45,各停②,大井町,各停（二子新地・高津停車）
10:50,各停①,大井町,各停（二子新地・高津通過）
10:56,各停①,大井町,各停（二子新地・高津通過）
11:05,各停①,大井町,各停（二子新地・高津通過）
11:10,各停①,大井町,各停（二子新地・高津通過）
11:16,各停①,大井町,各停（二子新地・高津通過）
11:25,各停①,大井町,各停（二子新地・高津通過）
11:31,各停②,大井町,各停（二子新地・高津停車）
11:36,各停①,大井町,各停（二子新地・高津通過）
11:45,各停①,大井町,各停（二子新地・高津通過）
11:50,各停②,大井町,各停（二子新地・高津停車）
11:56,各停①,大井町,各停（二子新地・高津通過）
12:05,各停②,大井町,各停（二子新地・高津停車）
12:10,各停①,大井町,各停（二子新地・高津通過）
12:16,各停①,大井町,各停（二子新地・高津通過）
12:25,各停②,大井町,各停（二子新地・高津停車）
12:30,各停①,大井町,各停（二子新地・高津通過）
12:36,各停①,大井町,各停（二子新地・高津通過）
12:45,各停②,大井町,各停（二子新地・高津停車）
12:50,各停①,大井町,各停（二子新地・高津通過）
12:56,各停①,大井町,各停（二子新地・高津通過）
13:05,各停②,大井町,各停（二子新地・高津停車）
13:10,各停①,大井町,各停（二子新地・高津通過）
13:16,各停①,大井町,各停（二子新地・高津通過）
13:25,各停②,大井町,各停（二子新地・高津停車）
13:30,各停①,大井町,各停（二子新地・高津通過）
13:36,各停①,大井町,各停（二子新地・高津通過）
13:45,各停②,大井町,各停（二子新地・高津停車）
13:50,各停①,大井町,各停（二子新地・高津通過）
13:56,各停①,大井町,各停（二子新地・高津通過）
14:05,各停②,大井町,各停（二子新地・高津停車）
14:10,各停①,大井町,各停（二子新地・高津通過）
14:16,各停①,大井町,各停（二子新地・高津通過）
14:25,各停②,大井町,各停（二子新地・高津停車）
14:30,各停①,大井町,各停（二子新地・高津通過）
14:36,各停①,大井町,各停（二子新地・高津通過）
14:45,各停②,大井町,各停（二子新地・高津停車）
14:50,各停①,大井町,各停（二子新地・高津通過）
14:56,各停①,大井町,各停（二子新地・高津通過）
15:05,各停②,大井町,各停（二子新地・高津停車）
15:10,各停①,大井町,各停（二子新地・高津通過）
15:16,各停①,大井町,各停（二子新地・高津通過）
15:25,各停②,大井町,各停（二子新地・高津停車）
15:30,各停①,大井町,各停（二子新地・高津通過）
15:36,各停①,大井町,各停（二子新地・高津通過）
15:42,各停①,大井町,各停（二子新地・高津通過）
15:47,各停②,大井町,各停（二子新地・高津停車）
15:52,各停①,大井町,各停（二子新地・高津通過）
15:57,各停①,大井町,各停（二子新地・高津通過）
16:06,各停②,大井町,各停（二子新地・高津停車）
16:11,各停①,大井町,各停（二子新地・高津通過）
16:16,各停①,大井町,各停（二子新地・高津通過）
16:24,各停①,大井町,各停（二子新地・高津通過）
16:28,各停①,大井町,各停（二子新地・高津通過）
16:32,各停①,大井町,各停（二子新地・高津通過）
16:39,各停①,大井町,各停（二子新地・高津通過）
16:43,各停①,大井町,各停（二子新地・高津通過）
16:47,各停①,大井町,各停（二子新地・高津通過）
16:51,各停①,大井町,各停（二子新地・高津通過）
16:58,各停①,大井町,各停（二子新地・高津通過）
17:02,各停①,大井町,各停（二子新地・高津通過）
17:06,各停①,大井町,各停（二子新地・高津通過）
17:13,各停①,大井町,各停（二子新地・高津通過）
17:17,各停①,大井町,各停（二子新地・高津通過）
17:21,各停①,大井町,各停（二子新地・高津通過）
17:28,各停①,大井町,各停（二子新地・高津通過）
17:32,各停①,大井町,各停（二子新地・高津通過）
17:36,各停①,大井町,各停（二子新地・高津通過）
17:43,各停①,大井町,各停（二子新地・高津通過）
17:47,各停①,大井町,各停（二子新地・高津通過）
17:51,各停①,大井町,各停（二子新地・高津通過）
17:58,各停①,大井町,各停（二子新地・高津通過）
18:02,各停①,大井町,各停（二子新地・高津通過）
18:06,各停①,大井町,各停（二子新地・高津通過）
18:13,各停①,大井町,各停（二子新地・高津通過）
18:17,各停①,大井町,各停（二子新地・高津通過）
18:21,各停①,大井町,各停（二子新地・高津通過）
18:28,各停①,大井町,各停（二子新地・高津通過）
18:32,各停①,大井町,各停（二子新地・高津通過）
18:36,各停①,大井町,各停（二子新地・高津通過）
18:43,各停①,大井町,各停（二子新地・高津通過）
18:47,各停①,大井町,各停（二子新地・高津通過）
18:51,各停①,大井町,各停（二子新地・高津通過）
18:58,各停①,大井町,各停（二子新地・高津通過）
19:02,各停①,大井町,各停（二子新地・高津通過）
19:06,各停①,大井町,各停（二子新地・高津通過）
19:13,各停①,大井町,各停（二子新地・高津通過）
19:17,各停①,大井町,各停（二子新地・高津通過）
19:21,各停①,大井町,各停（二子新地・高津通過）
19:28,各停①,大井町,各停（二子新地・高津通過）
19:32,各停①,大井町,各停（二子新地・高津通過）
19:36,各停①,大井町,各停（二子新地・高津通過）
19:43,各停①,大井町,各停（二子新地・高津通過）
19:47,各停①,大井町,各停（二子新地・高津通過）
19:51,各停①,大井町,各停（二子新地・高津通過）
19:58,各停①,大井町,各停（二子新地・高津通過）
20:02,各停①,大井町,各停（二子新地・高津通過）
20:06,各停①,大井町,各停（二子新地・高津通過）
20:13,各停①,大井町,各停（二子新地・高津通過）
20:17,各停①,大井町,各停（二子新地・高津通過）
20:21,各停①,大井町,各停（二子新地・高津通過）
20:28,各停①,大井町,各停（二子新地・高津通過）
20:32,各停①,大井町,各停（二子新地・高津通過）
20:36,各停①,大井町,各停（二子新地・高津通過）
20:43,各停①,大井町,各停（二子新地・高津通過）
20:47,各停①,大井町,各停（二子新地・高津通過）
20:51,各停①,大井町,各停（二子新地・高津通過）
20:57,各停①,大井町,各停（二子新地・高津通過）
21:03,各停①,大井町,各停（二子新地・高津通過）
21:07,各停①,大井町,各停（二子新地・高津通過）
21:12,各停①,大井町,各停（二子新地・高津通過）
21:17,各停①,大井町,各停（二子新地・高津通過）
21:25,各停①,大井町,各停（二子新地・高津通過）
21:31,各停①,大井町,各停（二子新地・高津通過）
21:37,各停①,大井町,各停（二子新地・高津通過）
21:45,各停①,大井町,各停（二子新地・高津通過）
21:52,各停①,大井町,各停（二子新地・高津通過）
21:57,各停①,大井町,各停（二子新地・高津通過）
22:06,各停①,大井町,各停（二子新地・高津通過）
22:15,各停①,大井町,各停（二子新地・高津通過）
22:24,各停①,大井町,各停（二子新地・高津通過）
22:32,各停①,大井町,各停（二子新地・高津通過）
22:39,各停①,大井町,各停（二子新地・高津通過）
22:49,各停①,大井町,各停（二子新地・高津通過）
23:00,各停①,大井町,各停（二子新地・高津通過）
23:10,各停①,大井町,各停（二子新地・高津通過）
23:21,各停①,大井町,各停（二子新地・高津通過）
23:31,各停①,大井町,各停（二子新地・高津通過）
23:42,各停①,大井町,各停（二子新地・高津通過）
23:55,各停①,大井町,各停（二子新地・高津通過）
0:10,各停①,大井町,各停（二子新地・高津通過）
0:27,各停①,大井町,各停（二子新地・高津通過）
