時刻,種別,行先
05:06,各停,和光市
05:18,各停,和光市
05:31,各停,和光市
05:34,各停,渋谷
05:38,急行,志木
05:42,各停,和光市
05:45,各停,渋谷
05:47,急行,渋谷
05:52,各停,和光市
05:56,急行,渋谷
06:00,急行,川越市
06:02,各停,和光市
06:05,急行,渋谷
06:08,各停,石神井公
06:13,各停,渋谷
06:16,急行,川越市
06:20,各停,志木
06:24,各停,清瀬
06:25,急行,渋谷
06:30,各停,渋谷
06:32,各停,和光市
06:34,急行,和光市
06:37,各停,志木
06:43,各停,渋谷
06:46,急行,和光市
06:49,各停,新宿三丁
06:52,各停,石神井公
06:54,急行,和光市
06:58,各停,新宿三丁
07:00,各停,所沢
07:07,各停,渋谷
07:10,各停,渋谷
07:12,急行,小手指
07:16,各停,渋谷
07:17,急行,森林公園
07:21,各停,和光市
07:22,急行,小手指
07:25,各停,渋谷
07:31,各停,渋谷
07:33,急行,新宿三丁
07:36,各停,池袋
07:37,急行,保谷
07:41,各停,和光市
07:46,各停,小手指
07:47,急行,新宿三丁
07:50,各停,新宿三丁
07:52,急行,和光市
07:55,各停,和光市
08:00,各停,小手指
08:02,急行,池袋
08:05,各停,清瀬
08:06,急行,小手指
08:10,各停,池袋
08:15,各停,和光市
08:17,急行,新宿三丁
08:20,各停,和光市
08:22,急行,和光市
08:25,各停,池袋
08:30,各停,新宿三丁
08:32,急行,池袋
08:35,各停,保谷
08:37,急行,和光市
08:40,各停,池袋
08:45,各停,渋谷
08:47,急行,渋谷
08:50,各停,和光市
08:52,急行,和光市
08:56,各停,石神井公
09:03,各停,和光市
09:05,急行,和光市
09:08,各停,渋谷
09:10,急行,和光市
09:15,各停,和光市
09:21,各停,渋谷
09:23,急行,小手指
09:27,各停,渋谷
09:32,急行,川越市
09:35,各停,新宿三丁
09:37,急行,保谷
09:40,各停,渋谷
09:42,急行,和光市
09:46,各停,和光市
09:53,各停,和光市
09:55,急行,渋谷
09:58,各停,渋谷
10:03,急行,渋谷
10:06,各停,石神井公
10:08,急行,和光市
10:11,各停,池袋
10:17,急行,渋谷
10:20,各停,渋谷
10:23,急行,川越市
10:27,各停,和光市
10:35,各停,渋谷
10:38,急行,和光市
10:42,各停,石神井公
10:47,急行,和光市
10:51,各停,和光市
10:53,急行,渋谷
10:57,各停,池袋
11:05,各停,渋谷
11:08,急行,和光市
11:12,各停,石神井公
11:17,急行,川越市
11:21,各停,和光市
11:23,急行,渋谷
11:27,各停,池袋
11:35,各停,渋谷
11:38,急行,和光市
11:42,各停,石神井公
11:47,急行,和光市
11:51,各停,和光市
11:53,急行,渋谷
11:57,各停,池袋
12:05,各停,渋谷
12:08,急行,和光市
12:12,各停,石神井公
12:17,急行,川越市
12:21,各停,和光市
12:23,急行,渋谷
12:27,各停,池袋
12:35,各停,渋谷
12:38,急行,和光市
12:42,各停,石神井公
12:47,急行,和光市
12:51,各停,和光市
12:53,急行,渋谷
12:57,各停,池袋
13:05,各停,渋谷
13:08,急行,和光市
13:12,各停,石神井公
13:17,急行,川越市
13:21,各停,和光市
13:23,急行,渋谷
13:27,各停,池袋
13:35,各停,渋谷
13:38,急行,和光市
13:42,各停,石神井公
13:47,急行,和光市
13:51,各停,和光市
13:53,急行,渋谷
13:57,各停,池袋
14:05,各停,渋谷
14:08,急行,和光市
14:12,各停,石神井公
14:17,急行,志木
14:21,各停,和光市
14:23,急行,渋谷
14:27,各停,池袋
14:35,各停,渋谷
14:38,急行,和光市
14:42,各停,石神井公
14:47,急行,和光市
14:51,各停,和光市
14:53,急行,渋谷
14:57,各停,池袋
15:05,各停,渋谷
15:08,急行,和光市
15:12,各停,石神井公
15:17,急行,志木
15:21,各停,和光市
15:23,急行,渋谷
15:27,各停,渋谷
15:35,各停,保谷
15:38,急行,和光市
15:42,各停,渋谷
15:47,急行,池袋
15:51,各停,渋谷
15:53,急行,渋谷
15:57,各停,志木
16:05,各停,石神井公
16:08,急行,和光市
16:12,各停,和光市
16:17,急行,川越市
16:21,各停,和光市
16:23,急行,渋谷
16:27,各停,池袋
16:35,各停,渋谷
16:38,急行,石神井公
16:42,各停,新宿三丁
16:47,急行,和光市
16:51,各停,渋谷
16:53,急行,和光市
16:57,各停,新宿三丁
17:03,各停,清瀬
17:07,各停,渋谷
17:13,急行,志木
17:16,各停,新宿三丁
17:19,急行,志木
17:23,各停,保谷
17:32,各停,渋谷
17:34,急行,和光市
17:38,各停,新宿三丁
17:44,急行,和光市
17:47,各停,志木
17:49,急行,渋谷
17:53,各停,保谷
17:59,各停,渋谷
18:02,各停,新宿三丁
18:04,急行,和光市
18:09,各停,和光市
18:14,急行,和光市
18:17,各停,新宿三丁
18:19,急行,渋谷
18:23,各停,志木
18:29,急行,和光市
18:32,各停,渋谷
18:34,急行,清瀬
18:38,各停,新宿三丁
18:44,急行,志木
18:47,各停,和光市
18:49,急行,渋谷
18:53,各停,渋谷
18:59,急行,和光市
19:02,各停,渋谷
19:04,急行,石神井公
19:08,各停,新宿三丁
19:14,急行,志木
19:17,各停,和光市
19:19,急行,渋谷
19:23,各停,渋谷
19:29,急行,森林公園
19:33,各停,渋谷
19:34,急行,清瀬
19:38,各停,和光市
19:45,各停,新宿三丁
19:47,各停,和光市
19:49,急行,渋谷
19:53,各停,渋谷
19:59,急行,川越市
20:02,各停,渋谷
20:04,急行,所沢
20:08,各停,新宿三丁
20:14,急行,和光市
20:17,各停,和光市
20:19,急行,渋谷
20:23,各停,渋谷
20:29,急行,志木
20:32,各停,渋谷
20:34,急行,清瀬
20:38,各停,新宿三丁
20:44,急行,和光市
20:47,各停,和光市
20:49,急行,渋谷
20:53,各停,渋谷
20:59,急行,森林公園
21:02,各停,渋谷
21:04,急行,和光市
21:08,各停,小手指
21:14,急行,和光市
21:17,各停,渋谷
21:19,急行,渋谷
21:23,各停,渋谷
21:29,急行,和光市
21:32,各停,志木
21:34,急行,小手指
21:38,各停,和光市
21:46,各停,石神井公
21:49,急行,渋谷
21:53,各停,渋谷
21:59,急行,森林公園
22:02,各停,渋谷
22:04,急行,渋谷
22:08,各停,和光市
22:17,各停,渋谷
22:20,急行,渋谷
22:23,各停,和光市
22:29,急行,渋谷
22:32,各停,渋谷
22:34,急行,小手指
22:38,各停,和光市
22:48,各停,和光市
22:53,各停,渋谷
22:59,急行,渋谷
23:02,各停,和光市
23:08,各停,石神井公
23:16,各停,渋谷
23:19,急行,渋谷
23:23,各停,渋谷
23:32,各停,和光市
23:34,急行,保谷
23:46,各停,自由が丘
23:50,各停,池袋
00:05,各停,新宿三丁
00:17,各停,渋谷
